Gene Information					FPKM					
Track_id	Gene_Name	Locus	Strand	Gene_Type	S1	S2	S3	S4	S5	S6
ENSSSCG00000000002	GTSE1	chr5:3227816-3242789	-	protein_coding	7.962212	12.135259	3.216829	15.82277	14.934621	5.956424
ENSSSCG00000000003	TTC38	chr5:3248343-3270774	-	protein_coding	6.528270919	5.580045931	4.787896515	7.364831692	5.671666642	4.522234004
ENSSSCG00000000005	CDPF1	chr5:3287229-3296329	+	protein_coding	1.842099	1.140065	1.488114	1.606291	1.049785	1.514447
ENSSSCG00000000006	PPARA	chr5:3300708-3366361	-	protein_coding	32.190739	30.125196	27.694504	26.513302	32.985447	39.329826
ENSSSCG00000000007	TRMU	chr5:3203666-3224367	-	protein_coding	4.440049248	4.874637019	5.534376063	4.510246378	4.450367587	5.025330916
ENSSSCG00000000010	FBLN1	chr5:3839501-3927183	-	protein_coding	31.69857617	23.57109914	28.87342067	36.27699146	30.87160655	29.91258595
ENSSSCG00000000014	FAM118A	chr5:4070701-4101287	-	protein_coding	18.84959259	15.86313802	11.98708884	11.88005205	14.27242844	11.82539329
ENSSSCG00000000018	KIAA0930	chr5:4152072-4195613	+	protein_coding	13.14188492	13.60819751	17.06861375	11.39393925	9.261497386	12.21337712
ENSSSCG00000000019	NUP50	chr5:4194308-4219230	-	protein_coding	8.713468648	7.763907163	7.827140034	7.427999606	7.032842279	6.793123207
ENSSSCG00000000022	RTL6	chr5:4649183-4655230	+	protein_coding	12.734081	13.148088	12.766778	14.681416	9.996613	12.955256
ENSSSCG00000000024	PARVB	chr5:4906684-5015441	-	protein_coding	12.88030111	9.930759388	12.40953225	10.83911423	11.92490414	7.016950885
ENSSSCG00000000025	-	chr5:4873152-4898647	-	protein_coding	0.387459658	0.368256807	0.677949626	0.563555211	0.464884475	0.586739257
ENSSSCG00000000029	SCUBE1	chr5:5561504-5692330	+	protein_coding	0.547788	0.611757	0.784571	0.899294	0.970931	0.623674
ENSSSCG00000000031	MCAT	chr5:5742185-5751692	+	protein_coding	5.144875194	4.570485736	5.007718897	3.244616894	5.116986993	2.736572734
ENSSSCG00000000033	TSPO	chr5:5723186-5735128	-	protein_coding	56.5429769	31.38601824	22.657412	26.28661383	28.60502943	20.65350403
ENSSSCG00000000034	TTLL12	chr5:5701583-5720724	+	protein_coding	12.974718	9.048314562	11.85666576	10.94371017	11.46703468	9.411225311
ENSSSCG00000000035	TTLL1	chr5:5793780-5827639	+	protein_coding	13.47317338	5.954277651	11.15026181	7.494857772	10.63733074	10.62388769
ENSSSCG00000000036	PACSIN2	chr5:5853377-5985171	+	protein_coding	26.91554525	30.29052602	32.26877534	34.33323127	27.20824224	25.2176344
ENSSSCG00000000037	ARFGAP3	chr5:5993808-6055091	+	protein_coding	6.644095878	5.007261968	5.212171976	6.429248898	5.542360867	6.484913507
ENSSSCG00000000038	CYB5R3	chr5:6146279-6170202	+	protein_coding	33.74812378	47.50870269	40.52222624	44.10703444	31.66917529	36.63612838
ENSSSCG00000000039	POLDIP3	chr5:6169398-6201940	+	protein_coding	10.06083698	10.07860786	8.843579529	9.353541155	9.692181244	10.41500675
